Item,Pack,Size,Brand,Description
20108,6,1 LB,BELLISSIMO,CHEESE MOZZ FRESH LOG SLC 26CT
20344,6,6 LB,VANTAGGIO,CHEESE MOZZ WISC DICED WM
30135,2,4 LB,SOFO,CHEESE CHED FNCY SHRD
30320,2,5 LB,SOFO,CHEESE PEPPER JACK SHRD
90156,4,5 LB,SPENDIDA,CHEESE PARM/ROMANO BLND
90721,6,48 OZ,BELLISSIMO,CHEESE RICOTTA WM
110150,2,5 LB,SPENDIDA,BACON PIZZA PCS CKD
120166,32,5 OZ,BELLISSIMO,BEEF STK PHILLY FLAT 5OZ RAW
120241,2,5 LB,BELLISSIMO,BEEF TPNG CKD
130018,2,5 LB,ANTONIO ORIGINL,PORK TPNG CKD
130593,2,5 LB,BELLISSIMO,SAUSAGE ITAL HAND PINCH
140310,2,5 LB,BELLISSIMO,"HAM SMKD QTR 1/4"" SLC"
170052,1,10 LB,ANTONIO OLD WRL,PEPPERONI ZESTY 16CT 44MM SLC
170065,2,5 LB,MARGHERITA,PEPPERONI PEPATO 38MM CUPPING SLC
170178,2,5 LB,SUGARDALE,PEPPERONI SANDWICH SLC
180163,2,5 LB,ALTISSIMA,MEATBALL 2 OZ CKD
190183,6,#10,SAPORITO,SAUCE PIZZA W/FRESH BASIL
200080,6,#10,FULL RED,TOMATO GRND UNPEELED 7-11
210073,6,#10,FULL RED,SAUCE ALDENTE PASTA
250470,1,10 LB,ATHENA PRODUCE,"MUSHROOMS THICK 1/8"" SLC"
250500,1,4 LB,PRODUCE,SPINACH BABY
260050,12,3 CT,PRODUCE,LETTUCE ROMAINE HEART
260520,1,BSHL,SOFO IMPERIAL,PEPPERS GREEN JUMBO
260640,1,50 LB,PRODUCE,ONIONS YELLOW
261210,1,25 LB,PRODUCE,TOMATO LG 6X6
280101,24,25 OZ,ABSOPURE,WATER 25OZ FLAT CAP
290225,6,2 LB,BELLISSIMO,DESSERT CANNOLI CRM VAN W/CHOC CHIPS
290342,12,3 OZ,SAVORY,COOKIE CHOC CHNK
290343,12,3 OZ,SAVORY,COOKIE CANDY
290344,12,3 OZ,SAVORY,COOKIE P-NUT BUTTER INDV WRAP
290511,30,10 OZ,JAMIE'S,DESSERT BRWNIE DBL CHOCOLATE
290543,30,10 OZ,JAMIE'S,COOKIE DGH CHOC CHIP
290611,198,2 OZ,CLOWN GLOBAL,DESSERT ICING VANILLA
290618,24,3 OZ,ELI'S CHESECAKE,DESSERT CHEESECAKE BLUEBRY SWRL SNGL SRV
290620,24,3 OZ,ELI'S CHESECAKE,DESSERT CHEESECAKE PLAIN SNGL SERVE
290621,24,3 OZ,ELI'S CHESECAKE,DESSERT CHEESECAKE COOKIES& CRM SNGL SRV
290623,24,3 OZ,ELI'S CHESECAKE,DESSERT CHEESECAKE STRWBRY SWRL SNGL SRV
290625,1,15 LB,H.C. BRILL,DESSERT ICING CINNAMON SMEAR
310059,6,#10,SOFO,OLIVES GREEN SLC
310225,6,10#,SOFO,OLIVES BLK IMPORT SLC 6/10
350290,6,1 GAL,BELLISSIMO,OIL BLND 20% OLIVE 80% SOY
350372,6,16.5 OZ,BENTN LANE,SPRAY PAN SUPREME
370087,1,80 CT,MIKES HOT HONEY,SAUCE HOT HONEY DIP CUP 770478
370210,4,1 GAL,SOFO,SAUCE BBQ
370308,1,32 OZ,BELLISSIMO,SALT KOSHER
370320,1,25 LB,CARGILL,SALT GRANUL
370350,1,50 LB,PACKER LBL,SUGAR 50#
370723,4,64 OZ,SWT BBY RAY,SAUCE HABANERO MANGO
370911,4,1 GAL,BELLISSIMO,SAUCE WING BUFFALO
