"Location","Department","Category","Item","Size","Quantity","Gross Revenue","Item Total Offers","Net Revenue"
"City View Pizza- Spring Garden","Appetizers","Appetizers","Bacon Cheese Fries",,"4","34","-0","34"
"City View Pizza- Spring Garden","Appetizers","Appetizers","Buffalo Chicken Fingers(5)",,"2","22.259999999999998","-0","22.259999999999998"
"City View Pizza- Spring Garden","Appetizers","Appetizers","Buffalo Shrimp",,"1","11.95","-0","11.95"
"City View Pizza- Spring Garden","Appetizers","Appetizers","Cheese Curly Fries",,"7","56.5","-0","56.5"
"City View Pizza- Spring Garden","Appetizers","Appetizers","Cheese Fries",,"31","225.89","-0","225.89"
"City View Pizza- Spring Garden","Appetizers","Appetizers","Cole Slaw Sm",,"6","7.5","-0","7.5"
"City View Pizza- Spring Garden","Appetizers","Appetizers","Curly Fries",,"14","96.30000000000001","-0","96.30000000000001"
"City View Pizza- Spring Garden","Appetizers","Appetizers","French Fries",,"120","710.2199999999999","-0","710.2199999999999"
"City View Pizza- Spring Garden","Appetizers","Appetizers","Garlic Long Roll",,"3","9.92","-0","9.92"
"City View Pizza- Spring Garden","Appetizers","Appetizers","Mega Fries",,"3","28.5","-0","28.5"
"City View Pizza- Spring Garden","Appetizers","Appetizers","Mozzarella Fries",,"10","67.5","-0","67.5"
"City View Pizza- Spring Garden","Appetizers","Appetizers","Mozzarella Stick(6)",,"48","416.4600000000001","-0","416.4600000000001"
"City View Pizza- Spring Garden","Appetizers","Appetizers","Old Bay Fries",,"5","31.25","-0","31.25"
"City View Pizza- Spring Garden","Appetizers","Appetizers","Onion Rings",,"16","96.35","-0","96.35"
"City View Pizza- Spring Garden","Appetizers","Appetizers","Pepperoni Pizza Fries",,"1","8","-0","8"
"City View Pizza- Spring Garden","Appetizers","Appetizers","Pizza Fries",,"10","85.34","-0","85.34"
"City View Pizza- Spring Garden","Beer","Beer","Miller Lite",,"1","9","-0","9"
"City View Pizza- Spring Garden","Beer","Beer","Pabst Blue Ribbon",,"1","9","-0","9"
"City View Pizza- Spring Garden","Beer","High Level Beers","Hopdevil",,"1","14.55","-0","14.55"
"City View Pizza- Spring Garden","Beer","High Level Beers","Sierra Nevada Pale Ale",,"2","29.1","-0","29.1"
"City View Pizza- Spring Garden","Beer","High Level Beers","Stella Artois",,"2","29.1","-0","29.1"
"City View Pizza- Spring Garden","Beer","High Level Beers","Stone IPA",,"2","29.1","-0","29.1"
"City View Pizza- Spring Garden","Beer","Mid-Level Beers","Guiness Extra Stout",,"1","13.64","-0","13.64"
"City View Pizza- Spring Garden","Beer","Single Beers","22oz Bud/Heineken/Regular Corona",,"8","31.039999999999996","-0","31.039999999999996"
"City View Pizza- Spring Garden","Beer","Single Beers","Corona Familiar",,"1","5.46","-0","5.46"
"City View Pizza- Spring Garden","Beverages","Additional Drinks","*******Apple Juice - Ocean Spray*******",,"12","33.32000000000001","-0","33.32000000000001"
"City View Pizza- Spring Garden","Beverages","Additional Drinks","*******Blue Gatorade*******",,"17","47.17000000000001","-0","47.17000000000001"
"City View Pizza- Spring Garden","Beverages","Additional Drinks","*******Lime Gatorade*******",,"1","2.78","-0","2.78"
