"Location","Department","Category","Item","Size","Quantity","Gross Revenue","Item Total Offers","Net Revenue"
"City View Pizza- Spring Garden","Appetizers","Appetizers","Cheese Curly Fries",,"1","9.2","-0","9.2"
"City View Pizza- Spring Garden","Appetizers","Appetizers","Cheese Fries",,"3","21","-0","21"
"City View Pizza- Spring Garden","Appetizers","Appetizers","Curly Fries",,"2","13.54","-0","13.54"
"City View Pizza- Spring Garden","Appetizers","Appetizers","French Fries",,"15","89.59","-0","89.59"
"City View Pizza- Spring Garden","Appetizers","Appetizers","Mega Fries",,"1","9.5","-0","9.5"
"City View Pizza- Spring Garden","Appetizers","Appetizers","Mozzarella Fries",,"5","33.75","-0","33.75"
"City View Pizza- Spring Garden","Appetizers","Appetizers","Mozzarella Stick(6)",,"4","34.82","-0","34.82"
"City View Pizza- Spring Garden","Appetizers","Appetizers","Onion Rings",,"4","22.8","-0","22.8"
"City View Pizza- Spring Garden","Beer","Single Beers","22oz Bud/Heineken/Regular Corona",,"1","3.88","-0","3.88"
"City View Pizza- Spring Garden","Beverages","Beverages","*******2 LTR SODA*******",,"11","48.09","-0","48.09"
"City View Pizza- Spring Garden","Beverages","Beverages","*******20 OZ SODA*******",,"73","204.66000000000005","-0","204.66000000000005"
"City View Pizza- Spring Garden","Beverages","Beverages","*******BOTTLED WATER*******",,"10","15","-0","15"
"City View Pizza- Spring Garden","Burgers","Burgers","Cheeseburger",,"3","25.7","-0","25.7"
"City View Pizza- Spring Garden","Burgers","Burgers","Cheeseburger Deluxe",,"9","111.3","-0","111.3"
"City View Pizza- Spring Garden","Burgers","Burgers","Hamburger Deluxe",,"1","10.75","-0","10.75"
"City View Pizza- Spring Garden","Burgers","Burgers","Turkey Cheeseburger",,"1","8.25","-0","8.25"
"City View Pizza- Spring Garden","Burgers","Burgers","Turkey Cheeseburger Deluxe",,"4","46.5","-0","46.5"
"City View Pizza- Spring Garden","Catering","Party Salad","Party Garden",,"1","65","-0","65"
"City View Pizza- Spring Garden","Catering","Party Salad","Party Grilled Chicken Caesar",,"1","85","-0","85"
"City View Pizza- Spring Garden","Chicken","Chicken Fingers","3 Finger Platter",,"7","71.15","-0","71.15"
"City View Pizza- Spring Garden","Chicken","Chicken Fingers","5 Chicken Fingers",,"2","20.060000000000002","-0","20.060000000000002"
"City View Pizza- Spring Garden","Chicken","Chicken Fingers","5 Finger Platter",,"7","97.67","-0","97.67"
"City View Pizza- Spring Garden","Chicken","Wing Dings","Wing Ding Platter",,"1","15.75","-0","15.75"
"City View Pizza- Spring Garden","Chicken","Wing Dings","Wing Dings (10)",,"2","35.96","-0","35.96"
"City View Pizza- Spring Garden","Chicken","Wings","10 Wings",,"21","301.75","-71.25","230.5"
"City View Pizza- Spring Garden","Chicken","Wings","20 Wings",,"2","61.47","-0","61.47"
"City View Pizza- Spring Garden","Chicken","Wings","8 Boneless Wings",,"1","9.75","-0","9.75"
"City View Pizza- Spring Garden","Counter Items","Chips","*******LG PLAIN CHIPS*******",,"1","2.49","-0","2.49"
"City View Pizza- Spring Garden","Counter Items","Slices","BBQ Chicken Slice",,"12","44.400000000000006","-0","44.400000000000006"
"City View Pizza- Spring Garden","Counter Items","Slices","Buffalo Chicken Slice",,"26","96.20000000000005","-0","96.20000000000005"
"City View Pizza- Spring Garden","Counter Items","Slices","Pepperoni Slice",,"35","105.35000000000001","-0","105.35000000000001"
"City View Pizza- Spring Garden","Counter Items","Slices","Plain Slice",,"67","186.26000000000005","-0","186.26000000000005"
"City View Pizza- Spring Garden","Deferred Notes","Times","***1:00 pm***",,"2","0","-0","0"
"City View Pizza- Spring Garden","Deferred Notes","Times","***2:30 pm***",,"1","0","-0","0"
"City View Pizza- Spring Garden","Gyros","Gyro","Chicken Gyro Platter",,"2","28","-0","28"
"City View Pizza- Spring Garden","Nachos and Quesadillas","Nachos","Chicken Steak Nachos",,"1","10.95","-0","10.95"
"City View Pizza- Spring Garden","Nachos and Quesadillas","Quesadillas","Chicken Quesadilla",,"2","23","-0","23"
"City View Pizza- Spring Garden","Nachos and Quesadillas","Quesadillas","Steak Quesadilla",,"1","11.5","-0","11.5"
"City View Pizza- Spring Garden","Pasta & Sautees","Pasta Dishes","Chicken Parm Pasta",,"2","32","-0","32"
"City View Pizza- Spring Garden","Pasta & Sautees","Pasta Dishes","Penne Pasta",,"1","12.2","-0","12.2"
"City View Pizza- Spring Garden","Pasta & Sautees","Pasta Dishes","Spaghetti Pasta",,"1","14.45","-0","14.45"
"City View Pizza- Spring Garden","Pasta & Sautees","Sautees","Alfr /w Chkn & Broc",,"1","17.95","-0","17.95"
"City View Pizza- Spring Garden","Pasta & Sautees","Sautees","Alfredo",,"1","14.75","-0","14.75"
"City View Pizza- Spring Garden","Pizza","Plain Pizza","Plain Pizza","Lg","32","558.63","-0","558.63"
"City View Pizza- Spring Garden","Pizza","Plain Pizza","Plain Pizza","Sm","15","175.5","-0","175.5"
"City View Pizza- Spring Garden","Pizza","Specialty Pizza*","BBQ Chicken Pizza","Lg","4","89","-0","89"
"City View Pizza- Spring Garden","Pizza","Specialty Pizza*","BBQ Chicken Pizza","Sm","2","31","-0","31"
"City View Pizza- Spring Garden","Pizza","Specialty Pizza*","Beef Pepperoni Pizza","Lg","5","111.25","-0","111.25"
"City View Pizza- Spring Garden","Pizza","Specialty Pizza*","Beef Pepperoni Pizza","Sm","2","33","-0","33"
"City View Pizza- Spring Garden","Pizza","Specialty Pizza*","Buffalo Chicken Pizza","Lg","2","44.5","-0","44.5"
"City View Pizza- Spring Garden","Pizza","Specialty Pizza*","Chicken Bacon Ranch Pizza","Lg","1","22.25","-0","22.25"
"City View Pizza- Spring Garden","Pizza","Specialty Pizza*","Chicken Steak Pizza","Sm","1","15.5","-0","15.5"
"City View Pizza- Spring Garden","Pizza","Specialty Pizza*","Grilled Chicken Pizza","Lg","1","22.25","-0","22.25"
"City View Pizza- Spring Garden","Pizza","Specialty Pizza*","Grilled Chicken Pizza","Sm","1","17.5","-0","17.5"
"City View Pizza- Spring Garden","Pizza","Specialty Pizza*","House Special Pizza","Sm","1","15.5","-0","15.5"
"City View Pizza- Spring Garden","Pizza","Specialty Pizza*","Meat Lovers Pizza","Lg","1","22.25","-0","22.25"
"City View Pizza- Spring Garden","Pizza","Specialty Pizza*","Meat Lovers Pizza","Sm","1","15.5","-0","15.5"
"City View Pizza- Spring Garden","Pizza","Specialty Pizza*","Steak Pizza","Lg","1","22.25","-0","22.25"
"City View Pizza- Spring Garden","Pizza","Specialty Pizza*","Steak Pizza","Sm","1","15.5","-0","15.5"
"City View Pizza- Spring Garden","Pizza","Specialty Pizza*","The Veggie Pizza","Lg","3","66.75","-0","66.75"
"City View Pizza- Spring Garden","Pizza","Specialty Pizza*","White Spinach Tomato Pizza","Lg","1","22.25","-0","22.25"
"City View Pizza- Spring Garden","Salad","Chicken in a Pan","Broccoli and Chicken in a Pan",,"1","13.45","-0","13.45"
