Performance Foodservice
Order Guide
Wsp 117 Valrico (PFS Orlando - 03549)
3327 Lithia Pinecrest Rd
Westshore Pizza
Valrico FL 33596
Area Manager: David Whisler

Custom Product Description,Product Description,Brand,StateOfOrigin,Domestic,Custom Product Number,Product Number,Pack Size,UOM,Price,Last Purchase (qty & date)
,"Cheesecake New York 10"" 16 Count Frozen",Sweet Encore,,No,,CV009,1/4 Lb,EA,$37.48,1 EA 05/21/2026
,"Roll Hoagie White Unsliced 12"" Approximately 8 Bag 6 Per Bag Frozen",Roma,,No,,FC340,48/6 Oz,CS,$40.36,1 CS 04/23/2026
,"Crust Pizza 12"" Gluten Free  Partial Baked Frozen",Elaines,,No,5671901,AMG84,20/7.13,CS,$73.24,1 CS 04/16/2026
,Brownie Chocolate Chip 24 Slice Tray Thaw & Serve Frozen,David's Cookies,,No,562322,A4584,48/4 Oz,CS,$50.22,1 CS 04/09/2026
,Cream Cannoli With Chocolate Chip Frozen,Roma,,No,959021,HB910,4/1.5 Lb,CS,$37.10,1 CS 03/12/2026
,"Cake Carrot 3 Layer 10""  Sliced Frozen",Cheesecake Royale,,No,,RP555,1/14 Sl,EA,$61.59,
,"Cake Chocolate 3 Layer Sliced Iced 10"" Frozen",Cheesecake Royale,,No,,FV765,1/14 Sl,EA,$57.72,
,Cheesecake Colossal Plain  New York Frozen,Cheesecake Royale,,No,,PG891,1/12 Sl,EA,$58.16,
,Cheesecake Cookies & Cream Sliced Frozen,Cheesecake Royale,,No,,AMN55,1/16 Sl,EA,$50.79,
,Cheesecake Strawberry Swirl 16 Slices Frozen,Cheesecake Royale,,No,,TR895,1/80 Oz,EA,$50.79,
,"Cookie Pan Chocolate Chip 8"" Round 11.4 Ounce Frozen",Otis Spunkmeyer,,No,775149,FM160,24/11.4,CS,$94.34,
,"Crust Pizza 12"" Gluten Free With Pan Frozen",Elaines,,No,,AMG80,20/7.13,CS,$85.74,
,Pretzel Bavarian Soft  Individually Wrapped Frozen,Brauhaus Bavarian,,No,533920,PA312,12/10 Oz,CS,$40.53,
,"Roll Kaiser Corn Dusted 4.5"" Sliced 3 Ounce Trans Fat Free Frozen",Heritage Ovens,,No,,857649,72/3 Oz,CS,$44.40,
,Shell Cannoli Large,Roma,,No,,HB912,8/6 Cnt,CS,$29.01,
,Beef Philly Chip Steak Formed And Sliced 10% Marinated Frozen,Roma,,No,631259,AMM16,1/10 Lb,CS,$55.47,3 CS 05/21/2026
,Meatball Italian Beef & Pork 2 Ounce Frozen,Westshore Pizza,,No,059857,AMN10,2/5 Lb,CS,$62.48,1 CS 05/07/2026
,Beef Philly Steak Flat Slice 4 Ounce Raw Frozen Halal,Philly's Best,,No,,NM460,40/4 Oz,CS,$62.35,4 CS 04/02/2026
,Beef Philly Steak Sirloin 0% Marinated Frozen,Luigi,,No,603093,CV916,40/4 Oz,CS,$84.85,4 CS 03/05/2026
,Beef Ground 80/20 Refrigerated,Ranahan Ranch,,No,480317,WF292,2/5 Lb,CS,$63.77,1 CS 02/12/2026
,Beef Angus Patty 3-1 Round 81/19 Fresh To Frozen - Close To Date Moved To Freezer,Braveheart,,No,,260737,36/5.33,CS,$80.60,
,Beef Angus Patty 3-1 Round 81/19 Refrigerated,Braveheart,,No,,258517,36/5.33,CS,$82.03,
,Meat Sample Frozen,Packer,,No,356838,AJC28,1/1 Cnt,CS,$147.68,
,Soda Coke Classic 2 Liter Plastic Bottle,Coca Cola,,No,,75096,8/2 L,CS,$24.76,1 CS 05/21/2026
,Soda Coke Slim Can,Coca Cola,,No,,AMD46,24/12 Oz,CS,$22.16,1 CS 05/21/2026
,Water Purified Plastic Bottle,Pure Life,,No,PER101264,A2580,24/16.9,CS,$5.43,1 CS 05/21/2026
,Soda Orange Slim Can,Fanta,,No,,AMD82,24/12 Oz,CS,$22.16,1 CS 05/14/2026
,Soda Coke Zero Sugar Slim Can,Coca Cola,,No,,AMD54,24/12 Oz,CS,$22.59,1 CS 05/07/2026
,Soda Sprite Slim Can,Sprite,,No,,AMD86,24/12 Oz,CS,$22.16,1 CS 04/30/2026
,Soda Cola Diet Slim Can 1,Diet Coke,,No,,AVR74,24/12 Oz,CS,$22.16,1 CS 04/16/2026
,Soda Cola Diet Plastic,Diet Coke,,No,,RE832,8/2 L,CS,$24.76,1 CS 04/02/2026
,Soda Sprite Plastic Bottle,Sprite,,No,,DR248,8/2 L,CS,$24.83,1 CS 04/02/2026
,Beverage Syrup Cherry Cola Bag In Box,Cherry Coke,,No,,21636,1/5 Gal,CS,$143.20,
,Beverage Syrup Coca Cola Classic Bag In Box Coke,Coca Cola,,No,,28372,1/5 Gal,CS,$143.20,
,Beverage Syrup Coke Zero Sugar Bag In Box,Coca Cola,,No,,B0400,1/5 Gal,CS,$143.20,
,Beverage Syrup Diet Coke Bag In Box,Diet Coke,,No,,28374,1/5 Gal,CS,$143.20,
,Beverage Syrup Orange Bag In Box,Fanta,,No,,22970,1/5 Gal,CS,$143.20,
,Beverage Syrup Root Beer Bag In Box,Barq's,,No,,22224,1/5 Gal,CS,$143.20,
,Beverage Syrup Sprite Lemon Lime Bag In Box,Sprite,,No,,28376,1/5 Gal,CS,$143.20,
,Beverage Syrup Strawberry Bag In Box,Fanta,,No,,40820,1/5 Gal,CS,$143.20,
,Drink Energy,Monster Energy Drink,,No,,FT362,24/16 Oz,CS,$49.46,
,Mexican Fanta Glass Bottle Fanta Orange 355 Milliliters,Coca Cola,,No,,PK880,24/12 Oz,CS,$49.19,
,Soda Coke Classic Ready To Drink Plastic Contour Bottle,Coca Cola,,No,,H0620,24/20 Oz,CS,$48.00,
,Soda Coke Zero Ready To Drink Plastic Contour Bottle,Coca Cola,,No,,F7726,24/20 Oz,CS,$41.02,
,Soda Lemon Lime Ready To Drink Plastic Dimple Bottle,Sprite,,No,,P6972,24/20 Oz,CS,$48.09,
,Soda Orange Ready To Drink Plastic Bottle,Fanta,,No,,P7048,24/20 Oz,CS,$41.00,
,Soda Pibb Extra Ready To Drink Plastic Bottle,Pibb Xtra,,No,,C9408,24/20 Oz,CS,$41.03,
,Soda Root Beer Plastic Bottle,Barq's,,No,,GL502,24/20 Oz,CS,$41.02,
,Soda Root Beer Ready To Drink 12 Ounce Can Fridge Pack,Barq's,,No,,N3970,24/12 Oz,CS,$23.16,
,Syrup Bag In Box Pibb Extra,Pibb Xtra,,No,,BCF12,1/5 Gal,CS,$143.15,
,Water Enhanced Plastic Bottle,Smartwater,,No,,PJ132,24/20 Oz,CS,$34.33,
,Water Purified Plastic Bottle,Dasani,,No,,P7644,24/20 Oz,CS,$22.07,
,Mushroom Pieces And Stem 68 Ounce Drained Weight,Roma,,No,231802,CK270,6/#10Can,CS,$62.82,1 CS 05/21/2026
,Pepper Banana Ring Sliced Mild,Chipico,,No,,AMP81,1/1 Gal,EA,$11.22,1 EA 05/21/2026
,Pepperoncini Whole Imported,Roma,,No,,FA297,1/1 Gal,EA,$9.90,1 EA 05/21/2026
,Tomato Ground Unpeeled In Extra Heavy Puree,7/11 Stanislaus,,No,031252,12128,6/#10Can,CS,$38.65,1 CS 05/21/2026
,"Crust Pizza 10"" Cauliflower Gluten Free Partial Baked Frozen",Elaines,,No,591778,PP960,20/5 Oz,CS,$62.18,1 CS 02/26/2026
,Pineapple Tidbit For Pizza In Light Syrup,Dole,,No,030257,19026,12/29 Oz,CS,$51.41,1 CS 02/26/2026
,Pepper Jalapeno Nacho Sliced,Roma,,No,,CV195,1/1 Gal,EA,$8.00,
,Pineapple Tidbit In Juice Choice,Dole,,No,,11162,6/#10Can,CS,$69.57,
,Tomato Ground All Purpose Unpeeled Gluten Free California Pomodoro Tritato,Luigi,,No,,HB958,6/#10Can,CS,$37.47,
,Tomato Ground Peeled Il Famoso California Pomodoro Tritato,Piancone,,No,,HB960,6/#10Can,CS,$38.98,
,Cheese American White 120 Slice Easy Pick Refrigerated,West Creek,,No,,158719,4/5 Lb,CS,$55.04,2 CS 05/21/2026
,Cheese American White 120 Slice Easy Pick Refrigerated,West Creek,,No,,CV109,1/5 Lb,EA,$16.60,2 EA 05/21/2026
,Cheese Mozzarella Whole Milk Loaf Refrigerated,Leprino Foods,,No,398513,AMV14,8/6 Lb,CS,$2.65/lb,2 CS 05/21/2026
,Cheese Parmesan Roman Style Grated Poly Refrigerated,Assoluti,,No,,DA589,1/5 Lb,EA,$25.69,1 EA 05/14/2026
,Cheese Ricotta Super Fine Kosher,Antonio Mozzarella,,No,339042,GW024,6/3 Lb,CS,$40.19,1 CS 05/14/2026
,Cheese Parmesan Style Grated Poly Refrigerated,Assoluti,,No,,HB931,1/5 Lb,EA,$22.55,1 EA 04/09/2026
,Cheese Feta Greek Brine Pack Authentic Style Pail Refrigerated,Roma,,No,361662,NJ076,2/8 Lb,CS,$44.53,1 CS 03/19/2026
,Cheese Feta Greek Brine Pack Authentic Style Pail Refrigerated,Roma,,No,,NJ077,1/8 Lb,EA,$27.72,1 EA 03/19/2026
,Cheese American White 160 Slices Easy Pick Refrigerated,West Creek,,No,,158721,4/5 Lb,CS,$55.30,
,Cheese American White 160 Slices Easy Pick Refrigerated,West Creek,,No,,CV113,1/5 Lb,EA,$17.21,
,Cheese American White Loaf Easy Melt Gluten Free Refrigerated,Ultimelt,,No,,CF088,6/5 Lb,CS,$84.99,
,Cheese Mozzarella Low Moisture Whole Milk Block Premium Made With Buffalo Milk Refrigerated,Bacio,,No,,287632,8/6 Lb,CS,$3.07,
