administrator@vps-BLOUD-Soft:~/apps/CostPro/fnbcostpro$ sudo -u postgres psql -d fnbcostpro -c "\dt public.*"
                           List of relations
 Schema |                Name                 | Type  |      Owner
--------+-------------------------------------+-------+-----------------
 public | _migration_log                      | table | fnbcostpro_user
 public | _migrations                         | table | fnbcostpro_user
 public | ai_overage_billings                 | table | fnbcostpro_user
 public | ai_token_usage                      | table | fnbcostpro_user
 public | ai_usage_acknowledgments            | table | fnbcostpro_user
 public | api_credential_locations            | table | fnbcostpro_user
 public | api_credentials                     | table | fnbcostpro_user
 public | auth_sessions                       | table | fnbcostpro_user
 public | background_images                   | table | fnbcostpro_user
 public | categories                          | table | fnbcostpro_user
 public | chat_corrections                    | table | fnbcostpro_user
 public | chat_logs                           | table | fnbcostpro_user
 public | companies                           | table | fnbcostpro_user
 public | company_settings                    | table | fnbcostpro_user
 public | company_stores                      | table | fnbcostpro_user
 public | customer_supplier_connections       | table | fnbcostpro_user
 public | daily_menu_item_sales               | table | fnbcostpro_user
 public | dayparts                            | table | fnbcostpro_user
 public | edi_messages                        | table | fnbcostpro_user
 public | email_otps                          | table | fnbcostpro_user
 public | extension_ingestion_batches         | table | fnbcostpro_user
 public | extension_pairing_codes             | table | fnbcostpro_user
 public | extension_sync_jobs                 | table | fnbcostpro_user
 public | extension_tokens                    | table | fnbcostpro_user
 public | inventory_count_entries             | table | fnbcostpro_user
 public | inventory_count_lines               | table | fnbcostpro_user
 public | inventory_counts                    | table | fnbcostpro_user
 public | inventory_import_batches            | table | fnbcostpro_user
 public | inventory_import_rows               | table | fnbcostpro_user
 public | inventory_item_external_mappings    | table | fnbcostpro_user
 public | inventory_item_location_assignments | table | fnbcostpro_user
 public | inventory_item_locations            | table | fnbcostpro_user
 public | inventory_item_price_history        | table | fnbcostpro_user
 public | inventory_item_units                | table | fnbcostpro_user
 public | inventory_items                     | table | fnbcostpro_user
 public | inventory_locations                 | table | fnbcostpro_user
 public | invitations                         | table | fnbcostpro_user
 public | menu_departments                    | table | fnbcostpro_user
 public | menu_entries                        | table | fnbcostpro_user
 public | menu_import_sessions                | table | fnbcostpro_user
 public | menu_item_prep_usages               | table | fnbcostpro_user
 public | menu_item_recipes                   | table | fnbcostpro_user
 public | menu_item_sizes                     | table | fnbcostpro_user
 public | menu_items                          | table | fnbcostpro_user
 public | menu_location_assignments           | table | fnbcostpro_user
 public | menu_sections                       | table | fnbcostpro_user
 public | menus                               | table | fnbcostpro_user
 public | onboarding_progress                 | table | fnbcostpro_user
 public | order_guide_lines                   | table | fnbcostpro_user
 public | order_guide_stores                  | table | fnbcostpro_user
 public | order_guides                        | table | fnbcostpro_user
 public | platform_vendor_registry            | table | fnbcostpro_user
 public | po_export_logs                      | table | fnbcostpro_user
 public | po_lines                            | table | fnbcostpro_user
 public | po_routing_audit                    | table | fnbcostpro_user
 public | pos_connections                     | table | fnbcostpro_user
 public | pos_item_mappings                   | table | fnbcostpro_user
 public | pos_location_mappings               | table | fnbcostpro_user
:
